,Tweets,sentiment
0,"RT @AlistairHaimes: Of the whole omnishambles, it's people trying to get into my head I object to the most.

Great from @GarySidley, former…",1
1,"RT @SteveBakerHW: The case for a new coronavirus strategy is now indisputable.

For @Telegraph, Janet Daley writes:

""Government scientists…",0
2,"RT @atrupar: ""If we tested half, cases would be half .... they want us to test, test, test"" -- Trump suggests the US only does so much coro…",1
3,"@Jim_Jordan Wear a mask! 224,000+ American souls have been lost to #Covid19. True #patriots wear a mask, because th… https://t.co/wFYlG26xar",0
4,RT @BNODesk: The El Paso-Juárez area on the U.S.-Mexico border is seeing a significant surge in coronavirus cases. The U.S. side alone is r…,0
5,"RT @AriBerman: Mitch McConnell blocking coronavirus relief legislation for 162 days, bill to restore Voting Rights Act for 322 days &amp; bill…",1
6,"RT @speechboy71: You semi-regular reminder that on June 16, Mike Pence wrote an op-Ed for the WSJ that dismissed the notion of a COVID-19 s…",1
7,"RT @DrWinarick: How many coronavirus deaths are truly attributable to Trump? - The Washington Post

Several empirical studies indicate that…",0
8,"RT @CNN: The US just marked a harrowing milestone: It recorded its highest one-day number of Covid-19 infections Friday at more than 83,000…",0
9,RT @NatureNews: Arguments in favour of allowing coronavirus to run its course largely unchecked share a misunderstanding about what herd im…,1
10,"RT @C_3C_3: President Trump’s complete victory in last night’s debate will lead to a major uptick in Coronavirus cases today.

It’s science.",0
11,RT @TPM: Fauci: ‘Maybe We Should Be Mandating’ Masks Amid Record High Coronavirus Cases https://t.co/Wk44Y2O0CV https://t.co/Bdzys0GCuK,0
12,"RT @alfonslopeztena: Jared Kushner and Ivanka Trump are threatening to sue over a pair of @ProjectLincoln’s giant, side-by-side billboards…",1
13,"The quotes in this are insane

https://t.co/GEu1KC2sO6",1
14,RT @AlexCorradetti: 🚨#DEVELOPING: Maury Regional Medical Center sees increase of #COVID-19 cases in Columbia-- https://t.co/5YmNxwrIjr @WKR…,0
15,"RT @ShaneGoldmacher: At a rally, Trump is mocking Biden's drive-in rallies.

“You know people in cars. I don’t get it.”
“There were so few…",1
16,RT @clevelanddotcom: Mayor Frank Jackson’s administration announced it would waive three months of rent from tenants at the West Side Marke…,1
17,RT @thejournal_ie: A further 859 cases of Covid-19 and four deaths have been confirmed in Ireland this afternoon https://t.co/83GsbCIIj1,0
18,RT @jsolomonReports: Multiple journals reject major mask study amid hints that it shows masks don’t stop COVID | Just The News https://t.co…,0
19,RT @atrupar: Trump claims that other countries have fewer coronavirus cases because they only test when "somebody comes into the hospital a…,0
20,RT @BelfastLive: First Minister Arlene Foster said: "It is absolutely right that they should be able to avail of financial assistance to su…,1
21,"RT @AJEnglish: For all COVID-19 news, follow our coverage here ➡️ https://t.co/lQ6FOpw51o https://t.co/wXyUfHfOTU",1
22,RT @atrupar: "We're rounding the turn. Our numbers are incredible." -- Trump declares the coronavirus pandemic almost over one day after th…,1
23,"RT @MaddowBlog: ""As President Donald Trump jetted across the country holding campaign rallies during the past two months, he didn’t just de…",1
24,"RT @DrDenaGrayson: On the day that the US posted a record high 83,000 new #coronavirus cases—shattering the prior record set only yesterday…",0
25,RT @TomJChicago: Maddow is on fire reporting how Coronavirus cases are surging where Trump has rallies. She has the stats &amp; is quantifying…,0
26,"RT @ShaneGoldmacher: At a rally, Trump is mocking Biden's drive-in rallies.

“You know people in cars. I don’t get it.”
“There were so few…",1
27,"RT @Angelinekking: This book is bloody brilliant, but it’s also freaking me out! How did Byddi Lee write this before coronavirus? I’m amaze…",1
28,"RT @File411: JFC - 
you’re purportedly the POTUS for ONCE tell the TRUTH
at this point, you’re either clinically insane;

or
a highly disfu…",0
29,RT @DrEricDing: BREAKING—North Dakota is planning to repurpose (read: skim) $16 million in federal coronavirus relief aid— to **encourage f…,1
30,RT @atrupar: Trump claims that other countries have fewer coronavirus cases because they only test when "somebody comes into the hospital a…,0
31,"RT @DWUhlfelderLaw: Florida really is “turning the corner” with 4,471 new cases and 77 new deaths reported today https://t.co/xn7f8BmUjW",0
32,RT @DonaldJTrumpJr: Muslim Group Says Cuomo Is ‘Targeting And Unjustly Blaming’ Jewish Communities For Coronavirus Spread - The Daily Calle…,0
33,RT @kumailn: We set a record for new coronavirus cases yesterday. 8 months into a pandemic and we’re setting records. Please be careful. Ex…,0
34,"Pretty good round up of how daft @MarkDrakeford's ""non-essential items"" ban is here from Sky News 
https://t.co/6r4YoLzgzg",1
35,"RT @DWUhlfelderLaw: Florida really is “turning the corner” with 4,471 new cases and 77 new deaths reported today https://t.co/xn7f8BmUjW",0
36,Due to the way things are right now with the #coronavirus How are you planning to celebrate the two biggest Holiday… https://t.co/XLS6jSAtNW,1
37,"RT @AriBerman: Mitch McConnell blocking coronavirus relief legislation for 162 days, bill to restore Voting Rights Act for 322 days &amp; bill…",1
38,"RT @funder: “This has been an absolute f*cking disaster since the beginning,” Dr. Taison Bell on Trump’s failed coronavirus response #Liste…",0
39,RT @atrupar: Trump claims that other countries have fewer coronavirus cases because they only test when "somebody comes into the hospital a…,0
40,"@atrupar The caring President, shame on you

WORLD / COUNTRIES / UNITED STATES
Last updated: October 24, 2020, 17:2… https://t.co/DxDlbO1jew",0
41,"RT @atrupar: ""All I know is, for a little while, for at least 4 months, I can run in there and kiss every one of you, men and women."" -- Tr…",1
42,RT @business: Pessimism is building at the Capitol that a coronavirus stimulus could be accomplished before Election Day https://t.co/L3UAY…,1
43,"“Poland faces a surge in the coronavirus pandemic, with a daily record of more than 13,600 new cases on Friday.” https://t.co/2bfeah5g3h",0
44,"RT @ChrisLu44: New analysis: after Trump rallies, #COVID19 surged in the counties where some of the rallies were held.

Meanwhile, even as…",0
45,RT @DonaldJTrumpJr: Muslim Group Says Cuomo Is ‘Targeting And Unjustly Blaming’ Jewish Communities For Coronavirus Spread - The Daily Calle…,0
46,"RT @ABC: NEW: Delta has added 460 people to its ""no-fly list for refusing to comply with our mask requirement,"" Delta CEO Ed Bastian says i…",0
47,"RT @funder: “This has been an absolute f*cking disaster since the beginning,” Dr. Taison Bell on Trump’s failed coronavirus response #Liste…",0
48,"RT @carolinehurls: If restaurants are COVID super spreaders, owners ask, where’s the proof? https://t.co/OAYE1sUBB5 from @brettchase",0
49,RT @people: Illinois Health Official Breaks Down Crying While Giving Update on State's Rising COVID-19 Deaths​ https://t.co/nyrtGgHytB,0
50,"RT @CNN: The five countries with the highest rate of infection worldwide are all in Europe, according to Johns Hopkins University's latest…",0
51,"I’m 64 years old, &amp; more full of life than in forever. I ain’t no #nobody F**k you @POTUS  And #BTW....you knew...y… https://t.co/9uwYrJ7aUN",1
52,"RT @aina_puce: This seems so obvious. Ppl shower &amp; change their underwear daily, but they cannot change their mask? No wonder ppl are getti…",0
53,"RT @IDPH: Public Health Officials Announce 6,161 New Confirmed Cases of Coronavirus Disease - More than 83,000 COVID-19 tests reported in p…",0
54,RT @atrupar: Trump claims that other countries have fewer coronavirus cases because they only test when "somebody comes into the hospital a…,0
55,"RT @Brexit: Irish Prime Minister Micheal Martin said “momentum” is building toward a Brexit deal between the EU and the U.K., as the corona…",1
56,"RT @ToryFibs: • 1,267 UK coronavirus deaths this week

You might have noticed, this weekly figure is climbing steadily.",0
57,RT @kumailn: We set a record for new coronavirus cases yesterday. 8 months into a pandemic and we’re setting records. Please be careful. Ex…,0
58,"RT @AmyMcGrathKY: Sen. McConnell blocked $1,200 checks for working families.

He blocked expanding food stamps.

He blocked housing protect…",1
59,"RT @cnnbrk: The US reported more than 80,000 new coronavirus infections on Friday -- the country's highest daily case number since the pand…",0
60,"RT @ChrisLu44: New analysis: after Trump rallies, #COVID19 surged in the counties where some of the rallies were held.

Meanwhile, even as…",0
61,RT @silverbract: #UPDATE: October 24th. #TrumpDeathToll224K &amp; #Trump claims #coronavirus "affects virtually nobody". FUCK TRUMP!!! Fight th…,1
62,"RT @nytimes: Case numbers are rising rapidly as the Midwest struggles to control major virus outbreaks. 

North Dakota has the most cases p…",0
63,There has never been a virus that attacks the epithelial cells of the body directly. Until this new seventh… https://t.co/ffPLPFm8yw,1
64,"RT @WalesOnline: More than 24,000 people have now signed a petition calling on @WelshGovernment to reverse its decision on stopping superma…",1
65,"“Tebboune, who is 74, has been advised by medical staff to isolate for five days. 
Algeria has officially recorded… https://t.co/WrBZuf1uXc",1
66,"RT @Reuters: Chile surpasses 500,000 confirmed COVID-19 cases https://t.co/JULcClDkWB https://t.co/Z4llkgog9x",0
67,RT @atrupar: Trump claims that other countries have fewer coronavirus cases because they only test when "somebody comes into the hospital a…,0
68,RT @TomFitton: FAUCI EMAILS RELEASED: These Fauci emails show how praising China was the odd priority of the WHO in the face of a novel and…,0
69,"RT @solomonmissouri: Somewhere in the last 7 months you've asked yourself... ""Do I have the coronavirus... Or is it allergies"" 
1) is it on…",0
70,RT @GrandpaSnarky: Coronavirus updates: Delta puts 460 people on 'no-fly list' over mask violations. - ABC News - https://t.co/uhzrGW6brs v…,0
71,RT @greenhousenyt: @realDonaldTrump This is inexcusable demagoguery.  Covid hospitalizations are up nearly 40% since October 1.  THAT is no…,0
72,"RT @talkRADIO: ""Many of our members feel scapegoated as if they are being played.""

Campaign director for the 'Campaign for Pubs' tells Mik…",1
73,RT @MaryLouMcDonald: Some good news: Bord Gais and Energia have joined Electric Ireland in announcing moratorium on disconnections - no one…,1
74,"@LBC @DavidLammy 10/23/2020: ￼ In England, Covid-19 'not in top 10 leading causes of deaths' across England and Wal… https://t.co/qgwFIPbALN",0
75,RT @atrupar: Trump claims that other countries have fewer coronavirus cases because they only test when "somebody comes into the hospital a…,0
76,"Last updated: 2020-10-24 17:05:02+00:00GMT
  Coronavirus [COVID-19]
    Cases: 42725669
    Deaths: 1152253… https://t.co/VnlZygXuHq",0
77,@50Colleen2 Hey! I’m with Team Joe and saw that you’re also fed up with DeSantis’ and Trump’s negligence when it co… https://t.co/74MTkXhPu7,1
78,RT @modern_labour: Welsh government urged to drop ban on sales of non-essentials: Criticisms of restriction on supermarkets include that it…,1
79,"RT @cnnbrk: The US reported more than 80,000 new coronavirus infections on Friday -- the country's highest daily case number since the pand…",0
80,"Irish Prime Minister Micheal Martin said “momentum” is building toward a Brexit deal between the EU and the U.K., a… https://t.co/5BzUx8WX9D",1
81,"RT @funder: “This has been an absolute f*cking disaster since the beginning,” Dr. Taison Bell on Trump’s failed coronavirus response #Liste…",0
82,RT @CNN: This 5-year-old wrote a book to help kids battle the stress of the coronavirus pandemic https://t.co/6S6f8b47mu https://t.co/9e7hH…,1
83,"RT @atrupar: ""If we tested half, cases would be half .... they want us to test, test, test"" -- Trump suggests the US only does so much coro…",1
84,RT @kumailn: We set a record for new coronavirus cases yesterday. 8 months into a pandemic and we’re setting records. Please be careful. Ex…,0
85,NEWS: The Department of Health says there have been 54 new cases of #COVID19 in Meath with 22 new infections in Lou… https://t.co/PwGhDV8KBC,0
86,RT @kumailn: We set a record for new coronavirus cases yesterday. 8 months into a pandemic and we’re setting records. Please be careful. Ex…,0
87,"RT @GovPritzker: Dr. Ezike is superwoman.

The people of the state of Illinois are her patients. Every single day, she’s looking out for YO…",1
88,RT @MailOnline: Streets in Rome and Paris are deserted as curfews to battle the second coronavirus wave come into effect https://t.co/yQ7ew…,1
89,Costco has teamed up with telemedicine provider AZOVA to sell COVID-19 saliva test kits without the "painful nasal… https://t.co/KMRqxJEwl4,1
90,"RT @BNODesk: Italy reports record 19,644 new coronavirus cases, daily death toll at highest level since May

- New cases: 19,644
- Positivi…",0
91,RT @dwnews: Hundreds of people in the southern Italian city of Naples protested a planned regional lockdown and a curfew amid a major spike…,0
92,"RT @Newsday: Months after his hospitalization for COVID-19, Gary Degrijze still can’t grasp a coffee cup handle. Ron Panzok suffers from pa…",1
93,"The coronavirus pandemic has certainly accelerated the move to the #digital channel, especially in the #banking and… https://t.co/V9iZgl9uHh",1
94,RT @atrupar: Trump claims that other countries have fewer coronavirus cases because they only test when "somebody comes into the hospital a…,0
95,What the FBI did to make headway against COVID-19 research hackers  https://t.co/NrCFiBtAh5 by @timstarks,1
96,"RT @AriBerman: Mitch McConnell blocking coronavirus relief legislation for 162 days, bill to restore Voting Rights Act for 322 days &amp; bill…",1
97,"RT @GovPritzker: Dr. Ezike is superwoman.

The people of the state of Illinois are her patients. Every single day, she’s looking out for YO…",1
98,"RT @GovPritzker: Dr. Ezike is superwoman.

The people of the state of Illinois are her patients. Every single day, she’s looking out for YO…",1
99,"RT @ddale8: And here’s the president’s coronavirus advisor, who is not an expert in the subject of infectious diseases, joining Trump in ig…",1
100,RT @DonaldJTrumpJr: Muslim Group Says Cuomo Is ‘Targeting And Unjustly Blaming’ Jewish Communities For Coronavirus Spread - The Daily Calle…,0
101,"@standupkid Yup, we’re turning the corner...That's a hospital down the block. A little further down the road is the… https://t.co/GEk0T7zJXO",1
102,RT @atrupar: "We're rounding the turn. Our numbers are incredible." -- Trump declares the coronavirus pandemic almost over one day after th…,1
103,U.S. Image Plummets Internationally as Most Say Country Has Handled Coronavirus Badly! https://t.co/zQTwaEdo1I,0
104,"RT @whdevreaux: This photo looks like the shield is just going to direct her breath directly into those drinks.

https://t.co/NzHJYG4mq9",1
105,RT @atrupar: Trump claims that other countries have fewer coronavirus cases because they only test when "somebody comes into the hospital a…,0
106,RT @chicagotribune: Confused about outdoor dining? Here’s a breakdown of the rules and safety guidelines. https://t.co/d6cuH2uRPe,1
107,@mmontuori @cnnbrk Pep rallies spread Coronavirus. Biden is showing leadership. It's a big part of why your guy is fired.,1
108,"RT @MichaelCBender: New U.S. Covid-19 cases rose above 80,000 to a daily record, Johns Hopkins data show, as the virus spread in remote are…",0
109,RT @gariamray: To any of my followers recovering from coronavirus. Please rest and listen to your body as much as possible. Some doctors wi…,1
110,RT @SkyNews: Sky's @IanKingSky says the furlough scheme demanded speed but HMRC must now be given the funds to claw back billions in fraud…,1
111,@chuncovid #stayselcaday #Golden   #UFC254   #Giro #MUFC #الكلاسيكو #HarryStyles   #EKP_artistoftheyear_BTS… https://t.co/fc61rN4YVp,1
112,"RT @ChrisLu44: New analysis: after Trump rallies, #COVID19 surged in the counties where some of the rallies were held.

Meanwhile, even as…",0
113,"@GabeParkhill @DED1960 @JoeBiden The coronavirus doesn’t care if your a republican, Democrat, independent, american… https://t.co/YsZlqwxMcH",1
114,"RT @CNN: The US just marked a harrowing milestone: It recorded its highest one-day number of Covid-19 infections Friday at more than 83,000…",0
115,"RT @atrupar: ""All I know is, for a little while, for at least 4 months, I can run in there and kiss every one of you, men and women."" -- Tr…",1
116,"@Janela_X Totalitarian - husband’s professional legal opinion, &amp; he is familiar with Coronavirus act.",1
117,"RT @ConnieSchultz: Look what he’s doing, leaving “a trail of coronavirus outbreaks in his wake.” https://t.co/cmEkuN3CI9",1
118,RT @people: Illinois Health Official Breaks Down Crying While Giving Update on State's Rising COVID-19 Deaths​ https://t.co/nyrtGgHytB,1
119,RT @DonaldJTrumpJr: Muslim Group Says Cuomo Is ‘Targeting And Unjustly Blaming’ Jewish Communities For Coronavirus Spread - The Daily Calle…,0
120,RT @kumailn: We set a record for new coronavirus cases yesterday. 8 months into a pandemic and we’re setting records. Please be careful. Ex…,0
121,"RT @ChrisLu44: New analysis: after Trump rallies, #COVID19 surged in the counties where some of the rallies were held.

Meanwhile, even as…",0
122,"RT @DMRegister: The president has participated in nearly three dozen rallies since mid-August, all but two at airport hangars. A USA TODAY…",1
123,"RT @nytimes: If people in the U.S. wear masks to curb the spread of the coronavirus, they could save the lives of nearly 130,000 people by…",1
124,"RT @DMRegister: The president has participated in nearly three dozen rallies since mid-August, all but two at airport hangars. A USA TODAY…",1
125,"RT @TheGazette: The latest figures

https://t.co/ZgVhelixEQ",1
126,RT @kylegriffin1: Why did the president knowingly mislead America about the coronavirus threat?,0
127,RT @DonaldJTrumpJr: Muslim Group Says Cuomo Is ‘Targeting And Unjustly Blaming’ Jewish Communities For Coronavirus Spread - The Daily Calle…,0
128,RT @Reuters: Mexico will not follow FDA in approving Gilead's COVID-19 drug https://t.co/ahd3EOoUZ3 https://t.co/OKTLWEtkl5,0
129,"Tacoma Washington is a a ghost town, all the inhabitants are gone from the Coronavirus..
Can you imagine a Presiden… https://t.co/GjlMC1RXPO",0
130,"RT @ChrisLu44: New analysis: after Trump rallies, #COVID19 surged in the counties where some of the rallies were held.

Meanwhile, even as…",0
131,"Guardian News: Trump says US is 'crushing' coronavirus as country surpasses 220000 deaths.
https://t.co/6CEFHriMM1

via @GoogleNews",0
132,RT @nytimes: Nearly 40% of coronavirus deaths in the U.S. so far were residents or staff of nursing homes or long-term facilities for the e…,0
133,"@1plus1_is_3 How about this?

https://t.co/hK4TWwLNbN",1
134,RT @business: Pessimism is building at the Capitol that a coronavirus stimulus could be accomplished before Election Day https://t.co/L3UAY…,1
135,RT @kumailn: We set a record for new coronavirus cases yesterday. 8 months into a pandemic and we’re setting records. Please be careful. Ex…,0
136,"RT @ChrisLu44: New analysis: after Trump rallies, #COVID19 surged in the counties where some of the rallies were held.

Meanwhile, even as…",0
137,RT @atrupar: Trump claims that other countries have fewer coronavirus cases because they only test when "somebody comes into the hospital a…,0
138,"RT @AmyMcGrathKY: Sen. McConnell blocked $1,200 checks for working families.

He blocked expanding food stamps.

He blocked housing protect…",0
139,"RT @alfonslopeztena: Jared Kushner and Ivanka Trump are threatening to sue over a pair of @ProjectLincoln’s giant, side-by-side billboards…",1
140,RT @atrupar: Trump claims that other countries have fewer coronavirus cases because they only test when "somebody comes into the hospital a…,0
141,"RT @ddale8: And here’s the president’s coronavirus advisor, who is not an expert in the subject of infectious diseases, joining Trump in ig…",1
142,RT @atrupar: Trump claims that other countries have fewer coronavirus cases because they only test when "somebody comes into the hospital a…,0
143,"RT @mybmc: A Small Request From The BIG B!

@SrBachchan appeals Mumbaikars to cooperate with BMC and help the city beat the evil of coronav…",1
144,"RT @funder: “This has been an absolute f*cking disaster since the beginning,” Dr. Taison Bell on Trump’s failed coronavirus response #Liste…",0
145,"RT @GovPritzker: Dr. Ezike is superwoman.

The people of the state of Illinois are her patients. Every single day, she’s looking out for YO…",1
146,"@realDonaldTrump @POTUS @VP
@WhiteHouse @MarkMeadows
@SenateGOP @HouseGOP
@SenJohnThune @govkristinoem

U.S. Rreaks… https://t.co/Hu7kNsJmM7",1
147,"RT @atrupar: ""All I know is, for a little while, for at least 4 months, I can run in there and kiss every one of you, men and women."" -- Tr…",1
148,"RT @AmyMcGrathKY: Sen. McConnell blocked $1,200 checks for working families.

He blocked expanding food stamps.

He blocked housing protect…",0
149,"RT @DWUhlfelderLaw: Florida really is “turning the corner” with 4,471 new cases and 77 new deaths reported today https://t.co/xn7f8BmUjW",0
150,RT @kumailn: We set a record for new coronavirus cases yesterday. 8 months into a pandemic and we’re setting records. Please be careful. Ex…,0
151,RT @atrupar: "We're rounding the turn. Our numbers are incredible." -- Trump declares the coronavirus pandemic almost over one day after th…,1
152,ON AIR: SUSUKA by KOFI KINATA / We Entertain. Empower. Educate . Talk to us on 0208 090 2121 HELLO@FANTASTICRADIO.C… https://t.co/eKR2NfTR20,1
153,"@MicaelsRuben @GOPChairwoman @realDonaldTrump If you feel so inclined, retweet this article to the ends of the Twee… https://t.co/SkPjqTgKzE",1
154,"RT @AriBerman: Mitch McConnell blocking coronavirus relief legislation for 162 days, bill to restore Voting Rights Act for 322 days &amp; bill…",1
155,"RT @nytimes: A second wave of the coronavirus is hitting Europe.

The number of Covid-19 patients in hospitals has been steadily rising.

P…",0
156,RT @Jeb2028: @RuralUSA2020 @ProjectLincoln @realDonaldTrump Trump “has participated in nearly three dozen rallies since mid-August...analys…,1
157,RT @kumailn: We set a record for new coronavirus cases yesterday. 8 months into a pandemic and we’re setting records. Please be careful. Ex…,0
158,RT @DonaldJTrumpJr: Muslim Group Says Cuomo Is ‘Targeting And Unjustly Blaming’ Jewish Communities For Coronavirus Spread - The Daily Calle…,0
159,RT @afewblue: @JuddLegum Then there was this. https://t.co/rmYDvzhmYT,1
160,RT @markhawthorne: Animal race tracks are going out of business. Fur farms are closing. And now bullfights are being cancelled. Some animal…,1
161,"RT @raqib_naik: Your money is being used to target a specific minority group in India by accusing them of being Coronavirus spreaders. 

Th…",0
162,RT @TomJChicago: Maddow is on fire reporting how Coronavirus cases are surging where Trump has rallies. She has the stats &amp; is quantifying…,0
163,"RT @ScottPughsley: Top story: Rain is wet! In other news: Reopening schools causes coronavirus R rate to surge, study finds https://t.co/yu…",0
164,"RT @GovPritzker: Dr. Ezike is superwoman.

The people of the state of Illinois are her patients. Every single day, she’s looking out for YO…",1
165,"RT @funder: “This has been an absolute f*cking disaster since the beginning,” Dr. Taison Bell on Trump’s failed coronavirus response #Liste…",0
166,RT @Marco55139885: Lockdown agony: Horror in care homes as nurse declares ‘they’re just existing’ | UK | News | https://t.co/tPjF4rryR9 htt…,1
167,"890 new coronavirus cases reported in Arizona, 4 additional deaths https://t.co/aQEZo1UqGq",0
168,RT @begentlemind: Your money is being used to target a specific minority group in India by accusing them of being Coronavirus spreaders.…,0
169,"RT @venessawong: One person in Georgia told me, ""Some politicians “are like, why don’t you go out there and get it? But there’s nothing to…",1
170,"RT @ChrisLu44: New analysis: after Trump rallies, #COVID19 surged in the counties where some of the rallies were held.

Meanwhile, even as…",0
171,"RT @mikejopek: “No, it doesn’t!” shouted Dr. Jeffrey Tjaden, a local infectious disease specialist who attended to warn that without immedi…",1
172,God's  plan is seen in how nature works together.   #SaturdayMotivation  #scripture  #trump  #MoscowMitch… https://t.co/3j9ViL8hsR,1
173,"RT @AlistairHaimes: Of the whole omnishambles, it's people trying to get into my head I object to the most.

Great from @GarySidley, former…",1
174,"RT @AmyMcGrathKY: Sen. McConnell blocked $1,200 checks for working families.

He blocked expanding food stamps.

He blocked housing protect…",0
175,@Eva_Shines_ Hey! I’m with Team Joe and saw that you’re also fed up with DeSantis’ and Trump’s negligence when it c… https://t.co/I6w8p79WMn,1
176,RT @SuperSySez: The #lockdown in Wales is utterly mad. There’s footage of sections of supermarkets covered up and closed off as “non-essent…,0
177,RT @NPR: Spain and France each surpassed 1 million confirmed coronavirus cases this week as Europe battles outbreaks and record numbers thr…,0
178,RT @DrEricDing: 4) #COVID19 pandemic proves that having a leader who values science is incredibly important for a country. Merkel is making…,1
179,"RT @funder: “This has been an absolute f*cking disaster since the beginning,” Dr. Taison Bell on Trump’s failed coronavirus response #Liste…",0
180,"RT @ShaneGoldmacher: At a rally, Trump is mocking Biden's drive-in rallies.

“You know people in cars. I don’t get it.”
“There were so few…",1
181,"RT @dockaurG: “CDC denounces ‘unethical and illegal’ mandatory coronavirus testing in schools”

“‘It is unethical and illegal to test someo…",1
182,"RT @NYDailyNews: Trump, Biden clash on corruption, coronavirus and Trump's 'prepaid' taxes in heated final debate

“All of the emails, the…",1
183,RT @atrupar: "We're rounding the turn. Our numbers are incredible." -- Trump declares the coronavirus pandemic almost over one day after th…,1
184,"RT @cnnbrk: The US reported more than 80,000 new coronavirus infections on Friday -- the country's highest daily case number since the pand…",0
185,"RT @FortuneMagazine: With offices closed, WeWork and other coworking spaces jump on market opportunity https://t.co/DQdQTv7Ib9",1
186,"RT @Goss30Goss: The grim record of coronavirus cases we hit yesterday is absolutely abhorrent. 

The number of deaths we will have in 2 wee…",0
187,"RT @jayrosen_nyu: POTUS, Oct. 22: ""We’re rounding the corner. It’s going away.""

REUTERS, Oct. 23: ""The United States broke its daily recor…",1
188,"RT @AmyMcGrathKY: Sen. McConnell blocked $1,200 checks for working families.

He blocked expanding food stamps.

He blocked housing protect…",0
189,RT @eugenegu: @realDonaldTrump Cases are up because more people are getting infected by the coronavirus. The positivity rate is alarmingly…,0
190,"RT @funder: “This has been an absolute f*cking disaster since the beginning,” Dr. Taison Bell on Trump’s failed coronavirus response #Liste…",0
191,"RT @CNN: The five countries with the highest rate of infection worldwide are all in Europe, according to Johns Hopkins University's latest…",0
192,"RT @atrupar: ""All I know is, for a little while, for at least 4 months, I can run in there and kiss every one of you, men and women."" -- Tr…",1
193,RT @atrupar: "We're rounding the turn. Our numbers are incredible." -- Trump declares the coronavirus pandemic almost over one day after th…,1
194,RT @DonaldJTrumpJr: Muslim Group Says Cuomo Is ‘Targeting And Unjustly Blaming’ Jewish Communities For Coronavirus Spread - The Daily Calle…,0
195,RT @HKLiberty_Team: #HKSARG relaxes max participants for local tours to 30 but retains 4-person limit on public groups. Why are 4-person gr…,1
196,"RT @AmyMcGrathKY: Sen. McConnell blocked $1,200 checks for working families.

He blocked expanding food stamps.

He blocked housing protect…",1
197,"RT @SteveBakerHW: The case for a new coronavirus strategy is now indisputable.

For @Telegraph, Janet Daley writes:

""Government scientists…",1
198,"RT @nytimes: More than 75,000 coronavirus cases were reported in the U.S. on Thursday, the second-highest daily total nationwide since the…",1
